"Time (s)","X (µT)","Y (µT)","Z (µT)"
6.130745333E0,-1.064754486E1,-5.093099976E1,-7.351333618E0
6.140768333E0,-1.063437653E1,-5.080593872E1,-7.509750366E0
6.150791333E0,-1.053836823E1,-5.064733887E1,-7.852233887E0
6.160814333E0,-1.068484879E1,-5.082809448E1,-7.991256714E0
6.170837333E0,-1.067859268E1,-5.089370728E1,-8.051116943E0
6.180861333E0,-1.071983337E1,-5.082177734E1,-7.883453369E0
6.190884333E0,-1.031661987E1,-5.061776733E1,-8.018188477E0
6.200907333E0,-1.034003830E1,-5.083410645E1,-8.156265259E0
6.210930333E0,-1.054810333E1,-5.076663208E1,-7.902648926E0
6.220953333E0,-1.043560028E1,-5.083499146E1,-8.242813110E0
